Name,Type,Status,Location,Tags,Relationships,Background Story,Image,Race,Role,Notes,Appearance,Class,Faction
Borin Thaldrum,NPC,Alive,Eldenhold,,,"Borin Thaldrum is the gruff but steady-handed innkeeper of the Gilded Gryphon, a broad-shouldered dwarf with a thick auburn beard streaked with gray and a permanent scowl that barely hides the warmth beneath. A former adventurer, he traded his warhammer for a tankard and now rules his bar with the same unshakable discipline he once led his old company with. He has little tolerance for troublemakers, but he prefers to resolve disputes with a glare and a warning before resorting to fists. His wife, Mara ""Ironspoon"" Thaldrum, is the only person who can overrule him, and together they keep the inn running like a well-oiled machine. Borin has a soft spot for Sniv the Unlucky, much to Mara’s chagrin, letting the goblin linger in the inn when he has nowhere else to go—though he loudly complains about it the entire time. He respects Garruk Stonefist, trusting the half-orc to handle security, and relies on Bert Nolley to keep the drinks flowing. While he’s outwardly dismissive of politics, he has a working relationship with Magister Halvar Greythorn, occasionally passing along overheard whispers that could prove useful.",Untitled/Borin_Thaldrum.webp,"Dwarf, Male",Innkeeper,A grizzled dwarf innkeeper who keeps the Gilded Gryphon running with discipline and care.,,,
"Mara ""Ironspoon"" Thaldrum",NPC,Alive,Eldenhold,,,"Mara Thaldrum is a battle-hardened dwarf with a wild mane of auburn hair always tied back in a messy bun, her sharp tongue as deadly as her throwing knives. She runs the Gilded Gryphon’s kitchen with military precision, commanding her staff with the same no-nonsense authority that made her a feared warrior in her younger days. Her legendary stews and roasted meats are famous across Valeris, but gods help anyone who steps into her kitchen uninvited. While she adores her husband, Borin, their constant bickering is the stuff of tavern legend. She despises Sniv the Unlucky and has made it her personal mission to chase him out of the kitchen with whatever blunt object is within reach. She has a working friendship with Lina Farrow, who she sees as a capable and trustworthy ally in keeping the inn running. Despite her gruff exterior, she looks out for her staff like a mother bear, ensuring that Bert Nolley and Garruk Stonefist always have a place at her table. While she pretends not to care about city affairs, she keeps an ear open for anything that might threaten the inn, especially when Selene Varro’s agents come sniffing around.",Untitled/Mara_Ironspoon_Thaldrum.webp,"Dwarf, Female",Head Chef,A battle-hardened dwarf who runs the kitchen with military precision.,,,
Lina Farrow,NPC,Alive,Eldenhold,,,"Lina Farrow is the heart of the Gilded Gryphon, a lively, sharp-witted barmaid with shoulder-length auburn hair and hazel eyes that sparkle with mischief. She has a talent for making patrons feel welcome—unless she doesn’t like them, in which case they usually find themselves on the receiving end of a withering glare and a spilled drink. While Borin Thaldrum handles the business and Mara the kitchen, Lina keeps the social gears turning, knowing every regular by name and every scandal by heart. She has a soft spot for Sniv the Unlucky, often sneaking him food when Mara isn’t looking, though she makes sure he never cheats inside the inn. She and Bert Nolley work seamlessly together behind the bar, their banter keeping the long nights entertaining. While she enjoys the chaotic energy of the Gryphon, she knows when to call Garruk Stonefist if things start getting out of hand. Lina has a talent for gathering secrets, and while she’s not officially part of Selene Varro’s network, she’s been known to trade a particularly juicy piece of gossip when the price is right.",Untitled/Lina_Farrow.webp,"Human, Female",Barmaid,"The heart of the Gilded Gryphon, making patrons feel welcome and gathering secrets.",,,
"Bertram ""Bert"" Nolley",NPC,Alive,Eldenhold,,,"Bert Nolley is a grizzled, no-nonsense bartender with a thick beard, piercing blue eyes, and a perpetual scowl that hides a surprising amount of patience. He’s been pouring drinks at the Gilded Gryphon for longer than most patrons have been alive, and in that time, he’s seen it all—fights, conspiracies, romances, and outright stupidity. His rule is simple: pay your tab, don’t start trouble, and don’t whine about the house rules. While he acts like he hates Sniv the Unlucky, constantly grumbling about throwing the little menace out, he always makes sure the goblin gets an extra splash of ale in his cup. He and Lina Farrow share an unspoken camaraderie, both keeping the bar running while dealing with the ever-growing number of ""personalities"" that pass through. Bert trusts Garruk Stonefist to handle security, though he takes a special pleasure in watching the half-orc throw out troublemakers. Despite his gruff exterior, Bert is fiercely loyal to Borin and Mara, considering them more family than employers. He has a distaste for city officials like Magister Halvar Greythorn, preferring to keep politics out of his bar—though he listens when necessary.",Untitled/Bert_Nolley.webp,"Human, Male",Bartender,"A seasoned bartender who has seen it all, running the bar with a no-nonsense attitude.",,,
Garruk Stonefist,NPC,Alive,Eldenhold,,,"Garruk Stonefist is the Gilded Gryphon’s first and final line of defense, a hulking half-orc with gray-green skin, thick tusks, and a stare that could freeze a charging ogre. While most bouncers rely on shouting and brute force, Garruk doesn’t need to—one glance from him is usually enough to send troublemakers out the door without a fight. He has been working at the Gryphon for years, and in that time, he has become more than just a hired hand—he is family. Borin and Mara Thaldrum trust him implicitly, knowing that as long as he stands at the door, no one will threaten their inn. He tolerates Sniv the Unlucky, but only barely, knowing full well the goblin’s antics could spark a bar brawl at any moment. Despite his stoic nature, he enjoys watching the back-and-forth between Bert Nolley and Lina Farrow, though he rarely gets involved. He has little patience for politics but knows enough to recognize when someone from Selene Varro’s network is sniffing around. While he doesn’t care much for noble affairs, he keeps an eye on those who frequent the Gryphon, particularly Durnik ""The Scar"" Vale, knowing that the man’s presence is rarely a coincidence.",Untitled/Garruk_Stonefist.webp,"Half-Orc, Male",Bouncer,A hulking half-orc who ensures no troublemakers enter the Gryphon.,,,
Sniv the Unlucky,NPC,Alive,"Big Titty Island, Eldenhold",,,"Sniv the Unlucky is a walking disaster, a cunning goblin with yellow eyes that dart constantly and a grin full of too many sharp teeth. A professional gambler, scam artist, and expert at barely escaping punishment, Sniv thrives in the underbelly of Valeris. He is banned from gambling inside the Gilded Gryphon, but that doesn’t stop him from roping unsuspecting travelers into ""friendly"" games of cards just outside. While Gerrold Dunn would love nothing more than to throw Sniv in Dunholm’s Hold, the goblin always finds a way to slip through the cracks. He has a particular fondness for Old Man Griggs, seeing the unhinged elf as a kindred spirit, and often sneaks into his hovel to swap nonsense and drink stolen ale. While he drives Mara Thaldrum insane, he gets along well with Lina Farrow, who finds his antics amusing and occasionally sneaks him food. Bert Nolley pretends to hate him, but Sniv knows the bartender pours a little extra into his cup when no one’s looking. He respects Garruk Stonefist enough not to test his patience—mostly. Despite his reputation, Sniv is more than just a cheat—he’s a survivor, and as long as there’s a pocket to pick or a fool to outwit, he’ll keep finding ways to stay one step ahead.",Untitled/Sniv_the_Unlucky.webp,"Goblin, Male",Gambler/Scammer,"A cunning goblin who thrives in the underworld, always scheming and gambling.",,,
Dain Emberforge,NPC,Alive,Eldenhold,,,"Dain Emberforge is a broad-shouldered, grizzled dwarf whose very presence commands respect. His deep red beard is often dusted with soot, and his arms, thick as forge hammers, bear the burns and scars of decades spent crafting weapons for the warriors of Valeris. As master blacksmith of the Iron Oath Armory, he runs the forge with unwavering discipline, ensuring that every blade, breastplate, and battleaxe that leaves his shop is worthy of legend. Dain is blunt, impatient with incompetence, and has little time for idle chatter—his focus is steel, and steel alone.

He has a begrudging respect for Garrek Steelson, whom he sees as a worthy successor if the man ever stops being so damn stubborn. While he constantly scolds Vella Dornfire for rushing her work, he secretly admires her drive and innovation, though he’d sooner die than admit it outright. Rivak the Hollow, however, is a necessary evil. Dain doesn’t trust the tiefling, nor does he like where some of the rare materials come from, but quality steel requires quality goods, and Rivak delivers. If the supplier ever crosses a line, though, Dain won’t hesitate to personally introduce him to his own anvil.

Though he avoids city politics, Dain has long provided weapons to the Valeris military, and he still has contacts within General Garric Thornvale’s ranks. He refuses to work with criminals—at least, not openly—but he’s aware that some of his best work has found its way into the hands of men like Durnik ""The Scar"" Vale. As long as they pay and don’t use his steel for cowardly deeds, Dain keeps his forge burning, his hands steady, and his eyes open.",Untitled/Dain_Emberforge.webp,"Dwarf, Male",Master Blacksmith,"A grizzled and disciplined blacksmith, crafting weapons for Valeris’ soldiers.",,,
Rivak the Hollow,NPC,Alive,Eldenhold,,,"Rivak the Hollow is a whisper of a man, his deep violet skin and curling black horns giving him an eerie, almost unnatural presence. His golden eyes hold no warmth, and his voice is always calm, controlled, and laced with carefully measured words. As the Iron Oath’s primary supplier of rare and exotic materials, he deals in metals not easily found—some legally acquired, others... less so.

Dain Emberforge tolerates him because his goods are the best, but there’s no trust between them. Garrek Steelson outright despises him, seeing him as a crook who hides behind civility. Vella Dornfire, meanwhile, watches him like a hawk, making it painfully clear she’s waiting for the day he slips up. Rivak, however, is never rattled. He finds their suspicions amusing, perhaps even flattering, and always ensures that his dealings are just clean enough to avoid trouble.

Though he keeps out of politics, Rivak has connections everywhere. He’s known to have dealings with Captain Rhogar Skyscale, smuggling certain materials via skyship, and he’s been seen speaking quietly with Selene Varro’s operatives more than once. What they discuss, only they know—but whatever it is, it’s worth keeping secret.",Untitled/Rivak_the_Hollow.webp,"Tiefling, Male",Supplier,A shadowy figure who supplies rare materials for the armory's weapons.,,,
Garrek Steelson,NPC,Alive,Eldenhold,,,"Garrek Steelson is built like a war machine, his muscled frame a testament to years spent on the battlefield before an injury forced him to trade his sword for a hammer. His sharp brown eyes, streaked with the weariness of a soldier-turned-smith, see every imperfection in the steel he works. Once a decorated fighter in the Valeris military, Garrek now serves as Dain Emberforge’s right hand at the Iron Oath Armory, using his firsthand experience with weapons to craft some of the finest blades in the kingdom.

Garrek butts heads with Dain constantly—where the old dwarf values tradition, Garrek believes in adaptability. Their arguments echo through the forge, but neither would trade the other for a lesser craftsman. He has a complicated relationship with Vella Dornfire, seeing her as reckless yet undeniably talented, and their constant competitions over who can forge the better blade have become something of a spectacle among the apprentices.

If there’s one man Garrek doesn’t trust, it’s Rivak the Hollow. He hates dealing with the tiefling supplier, convinced that one day Rivak’s ""business"" will bring trouble to the forge. He’s also wary of General Thornvale, having lost friends to the man's uncompromising commands during his military days. Despite this, he remains loyal to Valeris—just in his own way, with hammer and steel rather than rank and orders.",Untitled/Garrek_Steelson.webp,"Human, Male",Blacksmith,A former soldier who now forges weapons with precision and care.,,,
Vella Dornfire,NPC,Alive,Eldenhold,,,"Vella Dornfire is the youngest smith at the Iron Oath Armory, but what she lacks in years, she makes up for with raw talent and fiery determination. Tall and lean, with auburn hair always tied back in a loose braid, she moves around the forge with relentless energy. Her work is sharp, bold, and experimental—traits that both infuriate and impress Dain Emberforge, who constantly scolds her to ""slow the hell down"" before she burns her damn hands off.

Her rivalry with Garrek Steelson is legendary, the two constantly competing to craft the best weapons, though it’s never truly bitter. She respects his skill and knowledge, even if she thinks he’s too stuck in his ways. She, however, despises Rivak the Hollow. While the others tolerate the tiefling’s dealings, Vella refuses to trust a man who never answers a question directly. She keeps an eye on him whenever he comes to deliver goods, just waiting for the day she catches him in a lie she can use against him.

Despite her rebellious streak, Vella dreams of forging something legendary—something that will make her name last longer than any blade she crafts. She doesn’t care much for politics, but she’s noticed that Selene Varro’s agents have started taking an interest in the armory’s shipments, and that worries her more than she lets on.",Untitled/Vella_Dornfire.webp,"Human, Female",Smith,"A young and talented smith, always pushing the limits of weapon forging.",,,
Eldrin Starweave,NPC,Alive,Eldenhold,,,"Eldrin Starweave is the enigmatic proprietor of The Owl and Ember, a shop teeming with magical oddities, arcane tomes, and potions of dubious potency. Tall and slender, with silver-streaked midnight blue hair and piercing violet eyes, he carries himself with the air of a man lost in his own thoughts—because he usually is. His deep indigo robes shimmer faintly, embroidered with celestial symbols that seem to move if you stare too long.

A scholar first, a businessman second, and a conversationalist last, Eldrin often forgets what he’s saying mid-sentence, only to remember hours later and resume the conversation as if no time had passed. He is a vast well of arcane knowledge, though getting him to share it in a coherent manner is a test of patience. He is endlessly frustrated by his familiar, Nyx, a mischievous shadowy owl-like creature that delights in disorganizing his shop just to watch him struggle.

Eldrin has an uneasy but necessary relationship with Archmage Vaelios, the only mage in Valeris whose knowledge might rival his own. He respects the Sanctum’s authority but chafes at their restrictions on magic. He often provides rare components to Sister Myra Fenwick, though he insists on debating the nature of divine magic with her every time she visits. His dealings with Rivak the Hollow are purely transactional—he does not trust the tiefling’s sources, but some materials are too rare to question.

Despite his absentmindedness, Eldrin is not to be underestimated. Beneath the eccentricities lies a mage of considerable power, and those who think to take advantage of him often find themselves regretting it—if they even remember what happened afterward.",Untitled/Eldrin_Starweave.webp,"High Elf, Male",Shopkeeper,"The eccentric owner of The Owl and Ember, a shop full of magical oddities.",,,
Nyx,NPC,Alive,Eldenhold,,,"Nyx is an infuriatingly clever and endlessly smug shadowy owl-like creature that serves as Eldrin Starweave’s familiar, though ""serves"" is a generous term. With sleek black feathers, glowing violet eyes, and a penchant for speaking in riddles, Nyx delights in making Eldrin’s life as difficult as possible. He knocks over potion bottles, swaps labels on scrolls, and perches in just the right spot to ensure Eldrin trips over him at least once a day.

While he is an absolute nuisance to Eldrin, he is fiercely protective of the shop. He has been known to send would-be thieves running in terror with whispered threats that seem to come from the walls themselves. Those who try to cheat Eldrin often find their belongings inexplicably missing, or worse, their memories of the shop foggy and jumbled.

Nyx has an ongoing rivalry with Sniv the Unlucky, whom he sees as a kindred spirit of chaos but refuses to acknowledge as an equal. Their battles of wit often involve outlandish bets, illusion magic, and general mayhem—usually leaving Eldrin with a headache and a mess to clean up. He enjoys taunting Selene Varro’s spies, whispering false secrets just to see if they take the bait.

Despite his pranks, Nyx is deeply loyal to Eldrin. If anyone were to threaten the elf, they would quickly discover that the playful familiar is capable of much, much worse than simple mischief.",Untitled/Nyx.webp,"Shadowy Familiar, Male",Familiar,A mischievous owl-like creature who serves Eldrin Starweave.,,,
Father Cassiel Dornhelm,NPC,Alive,Eldenhold,,,"A human male, Father Cassiel Dornhelm is the unshakable leader of the Valeris Church, a man whose wisdom carries as much weight as his faith. His silver-streaked black hair and lined, weathered face tell of decades spent in service, carrying the burdens of others while rarely voicing his own.

Cassiel seeks balance in all things, often caught between Brother Alden Raye’s idealism and Sir Roderic Vaughn’s severity. He respects Alden’s mercy but knows it alone cannot protect the people. He values Roderic’s strength but warns against the dangers of a heart hardened beyond reason. He relies on Sister Myra Fenwick’s keen insight, often trusting her instincts when it comes to uncovering corruption within the church or nobility.

Though Cassiel’s patience is vast, it is not endless. When pushed too far, his voice alone can silence even the loudest room.",Untitled/Father_Cassiel_Dornhelm.webp,"Human, Male",Father,"The unshakable leader of the Valeris Church, balancing compassion and discipline.",,,
Brother Alden Raye,NPC,Alive,Eldenhold,,,"A human male, Brother Alden Raye is the youngest and most hopeful among the clergy, his faith rooted in mercy, redemption, and unwavering belief in the good of people. With soft brown hair and kind hazel eyes, he lacks the imposing presence of his fellow clergy, but his conviction is ironclad.

Alden clashes constantly with Sir Roderic Vaughn, believing mercy saves more souls than steel ever could. He admires Sister Myra Fenwick, who shares his desire to help others, though her methods are far more pragmatic. Father Cassiel guides him like a mentor, tempering his optimism with hard truths, though Alden often wrestles with the idea that not everyone can be saved.

Though he avoids violence when possible, Alden is no coward—when he takes a stand, he does not yield.",Untitled/Brother_Alden_Raye.webp,"Human, Male",Brother,"A young, idealistic member of the clergy who believes in mercy above all.",,,
Sister Myra Fenwick,NPC,Alive,Eldenhold,,,"A human female, Sister Myra Fenwick is a healer first, a priest second, and a problem solver always. With cropped dark hair, piercing green eyes, and a tone sharper than any blade, she has little patience for nonsense, self-pity, or grand speeches that accomplish nothing.

While she supports Alden’s compassion, she knows kindness alone won’t save the world. She and Sir Roderic Vaughn butt heads constantly, as she sees him as too rigid, too quick to draw steel when words would do. Roderic, in turn, finds her lack of deference infuriating. She is, however, one of the few people who can openly challenge Father Cassiel without immediate consequence, and while she respects him, she isn’t afraid to call out hypocrisy when she sees it.

For all her sharp edges, her hands are steady and warm when she tends to the wounded. She does what must be done—even if it means bending rules to do it.",Untitled/Sister_Myra_Fenwick.webp,"Human, Female",Sister,"A sharp-tongued priestess and healer, known for her no-nonsense attitude.",,,
Sir Roderic Vaughn,NPC,Alive,Eldenhold,,,"A human male, Sir Roderic Vaughn is discipline, duty, and steel given form. Tall, broad-shouldered, with graying blonde hair and a perpetual scowl, he exudes the unwavering authority of a knight devoted to the faith.

Roderic believes in order above all else—laws exist for a reason, and those who break them must face judgment. He sees Alden as naïve, blinded by soft-hearted hope, and finds Myra reckless, her willingness to bend rules bordering on dangerous. Despite this, he respects Cassiel without question, seeing him as the only leader capable of keeping the faith strong.

Though he seems cold, Roderic is not without a heart. He sees Alden’s unshaken belief and secretly envies it, knowing he lost his own long ago. Myra gets under his skin, but he cannot deny that her skills save as many as his sword does.

Once his loyalty is earned, it is unbreakable—but betray him, and there is no redemption.",Untitled/Sir_Roderic_Vaughn.webp,"Human, Male",Knight,"A knight who believes in absolute order and justice, valuing laws above all else.",,,
General Garric Thornvale,NPC,Alive,Eldenhold,,,"A human male, General Garric Thornvale is the unwavering force behind Valeris’ military, a seasoned commander who has led men through war and lived to tell the tale. His broad, battle-scarred frame, streaks of silver in his dark hair, and piercing steel-blue eyes leave no doubt that he is a warrior first, a leader second, and a politician only when necessary.

Thornvale is ruthless on the battlefield but fair to his soldiers. He expects excellence, not perfection, and has no patience for cowardice or insubordination. While he respects Sergeant Braska Holt’s grit, he wishes she had more discipline. He finds Wilfred ""Willy"" Greaves insufferable, though begrudgingly admits the man’s skills are invaluable. His relationship with Prison Warden Malrik Dunholm is tense—Thornvale believes in military law, not tyranny, and sees Malrik’s heavy-handed approach as dangerous.

Despite his rigid nature, Thornvale cares for his soldiers like a father, though he will never admit it. His commands are absolute, but his goal is clear—Valeris must never fall.",Untitled/General_Garric_Thornvale.webp,"Human, Male",General,"A battle-hardened leader, focused on protecting Valeris with unwavering authority.",,,
